Company Description,Company Name,Customer ID,Service Agreement Expiration,Website,Industry,Fax,Other Phones,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,Billing Country,Shipping Street,Shipping City,Shipping State/Province,Shipping Zip/Postal Code,Shipping Country
,Canby Farmers Grain Company Canby,1989074,9/23/2025 12:00 PM,,Grain,507-223-7189,Office (507-223-7236);Office (507-223-7237),PO Box 153,Canby,MN,56220,USA,201 West 1st Street,Canby,MN,56220,USA
,Cochecton Mills,1989151,11/3/2025 12:00 PM,,Feed,845-932-8865,Office (845-932-8282),30 Depot Road,Cochecton,NY,12726 ,USA,30 Depot Road,Cochecton,NY,12726 ,USA
,Dail Farms Inc. ,1989180,8/12/2025 12:00 PM,,Feed,,Mill (815-622-1560);Office (815-622-1560),8571 Albany Road,Erie,IL,61250,USA,8571 Albany Road,Erie,IL,61250,USA
,Hutterville Colony Hog Feed Mill,1989359,11/13/2025 12:00 PM,,Feed,403-758-3979,Office (403-758-3143);Mill (403-758-3143);Office (403-328-5816),PO Box 70,Magrath,AB,T0K 1J0,Canada,PO Box 70,Magrath,AB,T0K 1J0,Canada
,Ihnen Family Farms,1989373,5/31/2026 12:00 PM,,Feed,,Office (507-839-3836),35891 710th Street,Round Lake ,MN,56167,USA,35891 710th Street,Round Lake ,MN,56167,USA
,Independent Farmers Ag Services LLC,1989374,9/22/2025 12:00 PM,,Feed,320-392-5902,Office (320-392-5927);Office (320-392-5327);Mill (320-392-5927),24913 Co Road 1,Hancock,MN,56244,USA,24913 Co Road 1,Hancock,MN,56244,USA
,JD Howerton And Sons,1989384,2/24/2026 12:00 PM,,Feed,,Office (660-678-4591),575 N.W. 1250 Road,Chilhowee,MO,64733,USA,575 N.W. 1250 Road,Chilhowee,MO,64733,USA
,Lakeside Feed And Poultry,1989420,7/1/2025 12:00 PM,,Feed,870-892-2588,Office (870-892-2580),2164 Hamil Road,Ravenden Springs,AR,72460,USA,2164 Hamil Road,Ravenden Springs,AR,72460,USA
,Liphatech Inc. ,1989431,6/10/2025 12:00 PM,,Other,,Office (414-351-1476),3600 West Elm Street,Milwaukee,WI,53209,USA,3600 West Elm Street,Milwaukee,WI,53209,USA
,Midwest Farms Burlington,1989457,3/20/2026 12:00 PM,,Feed,719-346-7931,Mill (719-340-1038);Office (719-346-7211),"870 Cherokee StreetPO Box 86",Burlington,CO,80807,USA,"870 Cherokee StreetPO Box 86",Burlington,CO,80807,USA
,Milford Colony Wolf Creek Hog Feed Mill,1989463,10/24/2025 12:00 PM,,Feed,,Mill (406-621-6813);Office (406-562-3439),9605 Hwy 287,Wolf Creek,MT,59648,USA,9605 Hwy 287,Wolf Creek,MT,59648,USA
,Miller Colony Hog Mill,1989465,11/3/2025 12:00 PM,,Feed,406-466-2355,Mill (406-466-2538);Office (406-217-2821);Office (406-868-5580);Office (406-217-2632),5130 Hwy 89,Choteau,MT,59422,USA,5130 Hwy 89,Choteau,MT,59422,USA
,Nemo Feed,1989479,7/20/2025 12:00 PM,,Feed,,,50726 State Highway 15,Baring,MO,63531,USA,50726 State Highway 15,Baring,MO,63531,USA
,Neudorf Colony Farming Co. LTD,1989480,4/19/2026 12:00 PM,,Feed,403-946-0272,Mill (403-946-4801);Office (403-946-4801),RR 1,Crossfield,AB,TOM OSO,Canada,RR 1,Crossfield,AB,TOM OSO,Canada
,Nobis Agri Services,1989487,7/4/2025 12:00 PM,,Feed,269-685-2975,Office (269-685-1716);Office (269-685-6058);Office (269-685-5560);Mill (269-685-6058),"963 Industrial PkyBox 394",Plainwell,MI,49080-1437,USA,"963 Industrial PkyBox 394",Plainwell,MI,49080-1437,USA
,Northwest Missouri Farms LLC,1989490,12/14/2025 12:00 PM,,Feed,,Mill (660-623-6043),23998 X Avenue,Tarkio,MO,64491,USA,23998 X Avenue,Tarkio,MO,64491,USA
,More Than Just Feed Granum,1989491,8/8/2025 12:00 PM,,Feed,,Mill (403-360-1304);Mill (587-727-0386);Office (403-948-4578),126 E Canal Garden,Strathmore,AB,T1P 0A9,Canada,322 33 Street N,Lethbridge,AB,T1H OC6,Canada
,Farmers Cooperative Pawnee City Shuttle,2967826,,,Grain,,Office (402-946-2211),208 W Depot Street,Dorchester,NE,68343,USA,62224 711 Road,Pawnee City,NE,68420,USA
,More Than Just Feed Corporate,1989495,,,Feed,,Office (403-948-4578),126 E Canal Garden,Strathmore,AB,T1P 1Y4,Canada,126 E Canal Garden,Strathmore,AB,T1P 1Y4,Canada
,Kropf Feeds,1989502,8/11/2025 12:00 PM,,Feed,,Mill (417-345-4300);Office (417-345-4304);Office (815-379-2867),34 Kelly Road,Buffalo,MO,65622,USA,19 Prairie Lane,Buffalo,MO,65622,USA
,Parkston/Kaylor Grain Corporate,1989511,,,Feed,,,,,,,,,,,,
,Peace View Colony,1989514,10/5/2025 12:00 PM,,Feed,250-789-3008,Office (250-789-3008);Mill (250-789-3008),Box 194,Farmington,BC,V0C 1N0,Canada,Box 194,Farmington,BC,V0C 1N0,Canada
,Pearl Creek Colony,1989515,4/4/2026 12:00 PM,,Feed,605-546-2316,Office (605-546-2452);Mill (605-546-0257),21085 415th Avenue,Iroquois,SD,57353,USA,21085 415th Avenue,Iroquois,SD,57353,USA
,Pembrook Colony,1989518,7/1/2026 12:00 PM,,Feed,605-426-6615,Mill (605-380-4295);Office (605-426-6518),35955 139th Street,Ipswich,SD,57451,USA,35955 139th Street,Ipswich,SD,57451,USA
,Pillen Family Farms Albion,1989522,1/9/2026 12:00 PM,,Feed,402-395-5094,Office (402-564-0407),2416 State Highway 14,Albion,NE,68620,USA,2416 State Highway 14,Albion,NE,68620,USA
,Plainview Colony,1989527,1/27/2026 12:00 PM,,Feed,605-426-6445,Office (605-426-6252),12465 359th Street,Leola,SD,57456,USA,12465 359th Street,Leola,SD,57456,USA
,Pro Cooperative Ayrshire,1989538,10/17/2025 12:00 PM,,Feed,712-335-3075,Office (712-335-3063);Office (515-884-8410),3717 420th Street,Ayrshire,IA,50515,USA,3717 420th Street,Ayrshire,IA,50515,USA
,Pro Cooperative Rolfe,1989539,2/1/2026 12:00 PM,,Other,,Office (515-890-5430),601 Broad Street,Rolfe,IA,50581,USA,601 Broad Street,Rolfe,IA,50581,USA
,Pro Cooperative Corporate,1989540,,,Feed,712-837-5702,Office (515-884-8430),"17 3rd Ave NEPO Box 189",Pocahontas,IA,50574,USA,1505 Main Street,Ruthven,IA,51358,USA
,Cenex Harvest States Progressive Nutrition Norfolk (CHS),1989542,1/1/2026 12:00 PM,,Feed,,Mill (402-371-2040);Mill (402-371-2040),1500 E. Omaha Ave,Norfolk,NE,68702,USA,1500 E. Omaha Ave,Norfolk,NE,68702,USA
,Protein Sources,1989543,1/16/2026 12:00 PM,,Feed,507-524-4925,Office (507-524-4511);Mill (507-524-4511);Office (507-524-2322),"503 Silver Street EastPO Box 308",Mapleton,MN,56065,USA,"503 Silver Street EastPO Box 308",Mapleton,MN,56065,USA
,Tom Ritz,1989554,10/29/2025 12:00 PM,,Feed,,Office (616-899-2922);Mill (616-299-3678),2721 Wilson Avenue,Conklin,MI,49403,USA,2721 Wilson Avenue,Conklin,MI,49403,USA
,Smith Quality Eggs,1989590,4/22/2026 12:00 PM,,Feed,,Office (315-677-9216),7047 Kelly Road,Lafayette,NY,13084,USA,7047 Kelly Road,Lafayette,NY,13084,USA
,Springer Family Foods LLC Box Farm Feed Mill,1989601,7/13/2025 12:00 PM,,Feed,620-331-2008,Office (620-331-0185),PO Box 97,Sycamore,KS,67363,USA,3321 County Road 5800,Independence,KS,67301,USA
,Shady Lane Colony,1989583,5/28/2026 12:00 PM,,Feed,780-557-9902,Office (780-694-2686);Mill (780-694-3005),Box 217,Wanham,AB,T0H 3P0,Canada,Box 217,Wanham,AB,T0H 3P0,Canada
,Springer Family Foods LLC Valley Feed Mill,1989602,10/26/2025 12:00 PM,,Feed,620-331-2008,Office (620-331-0185),PO Box 97,Sycamore,KS,67363,USA,3321 County Road 5800,Independence,KS,67301,USA
,Swinford And Franz Farms,1989613,3/20/2026 12:00 PM,,Feed,,Office (765-665-3888),8720 S 275 E,Hillsdale,IN,47854,USA,8720 S 275 E,Hillsdale,IN,47854,USA
,Synergy Agri Group Inc. ,1989614,7/7/2025 12:00 PM,,Feed,902-542-2691,Office (902-542-7810);Mill (902-542-2733);Office (902-542-2733),"1100 Kars StreetPO Box 159",Port William,NS,B0P 1T0,Canada,2214 Gaspereau River Road,Avonport,NS,B0P 1T0,Canada
,Talbot Elevator,1989617,3/13/2026 12:00 PM,,Feed,,Office (519-773-2165);Mill (519-773-2165),"52744 Talbot LineRR1",Aylmer,ON,N5H 2R1,Canada,"52744 Talbot LineRR1",Aylmer,ON,N5H 2R1,Canada
,CHS Circle (Cenex Harvest States),2958109,,,Feed,,,1105 A Avenue,Circle,MT,59215,USA,1105 A Avenue,Circle,MT,59215,USA
,Thomas Livestock Company Inc. Merna (New Mill),1989621,6/16/2026 12:00 PM,,Feed,308-872-2200,Office (308-872-2020);Mill (308-643-2715),79696 Hwy #21,Broken Bow,NE,68822,USA,80534 Hwy 2,Merna,NE,68822,USA
,Tlam Farms,1989625,1/5/2026 12:00 PM,,Feed,,Office (507-695-2971);Mill (507-840-1171);Office (507-695-2368),429 10th Avenue,Dunnell,MN,56127,USA,429 10th Avenue,Dunnell,MN,56127,USA
,Toelle Farms,1989626,12/16/2025 12:00 PM,,Feed,320-695-2558,Office (320-695-2511),5085 St. Anthony Drive,Browns Valley,MN,56219,USA,5085 St. Anthony Drive,Browns Valley,MN,56219,USA
,Triple G Farms,1992610,6/21/2026 12:00 PM,,Feed,,Mobile (515-835-2161),2970 Inkpaduta Ave,Webster City,IA,50595,USA,2970 Inkpaduta Ave,Webster City,IA,50595,USA
,Yorktown Organic Feed Tampico,1994179,7/13/2025 12:00 PM,,Feed,,Office (815-438-2543);Office (815-438-2544),29990 Illinois Hwy 92,Tampico,IL,61283,USA,29990 Illinois Hwy 92,Tampico,IL,61283,USA
,Veldkamp Farms,1992632,7/18/2025 12:00 PM,,Feed,,Mill (507-227-8408);Office (507-348-4799),152 251st Street,Jasper,MN,56144,USA,152 251st Street,Jasper,MN,56144,USA
,Viking Colony,1992634,7/31/2025 12:00 PM,,Feed,,Office (780-36-4972);Mill (780-336-5474 Benny),Box 840,Viking,AB,T0B 4N0,Canada,Box 840,Viking,AB,T0B 4N0,Canada
,Whitewater Milling LLC,1992655,3/12/2026 12:00 PM,,Feed,,Office (507-523-2753);Mill (507-523-3582),22482 Rupprechts Valley Road,Lewiston,MN,55952,USA,22482 Rupprechts Valley Road,Lewiston,MN,55952,USA
,Wilcox Family Farms,1992656,6/25/2025 12:00 PM,,Feed,,Mobile (Scott (IT) - 360-239-4241);Office (360-458-7774);Mill (360-458-6907),40400 Harts Lake Valley Road,Roy,WA,98580,USA,40400 Harts Lake Valley Road,Roy,WA,98580,USA
,Kleinheksel Farms,2002923,,,Feed,,,,,,,,A-5124 138th Ave,Holland,MI,49423,USA
,Wolf L And G Farms,1994176,6/19/2026 12:00 PM,,Feed,608-723-5115,Office (608-723-7541);Mill (608-778-0806),5590 Substation Road,Lancaster,WI,53813-9614,USA,5590 Substation Road,Lancaster,WI,53813-9614,USA
,Westrum Farms,2003026,11/3/2025 12:00 PM,,Feed,815-756-7272,Office (515-838-2592);Mill (515-835-2083),1525 370th Street,Stratford,IA,50249,USA,1525 370th Street,Stratford,IA,50249,USA
,S And C Pork,2005372,9/5/2025 12:00 PM,,Feed,,Office (563-964-2787);Mill (563-880-1967),20986 Hwy 52,St. Olaf,IA,52072,USA,20986 Hwy 52,St. Olaf,IA,52072,USA
,Central Region Cooperative Corporate,2005398,,,Feed,507-794-5272,Mill (507-794-3001);Office (507-794-3031),27865 County Road 27,Sleepy Eye,MN,56085,USA,27865 County Road 27,Sleepy Eye,MN,56085,USA
,River Valley Organics,2008202,7/19/2025 12:00 PM,,Feed,,Office (479-518-5203),277 County Road 3020,Hartman,AR,72840,USA,277 County Road 3020,Hartman,AR,72840,USA
,Brenelm Farms Ltd,2008255,12/1/2025 12:00 PM,,Feed,,Mill (519-276-0947 Jim's cell);Office (519-462-2513),9646903 Maplewood Road,Tavistock,ON,N0B 2R0,Canada,9646903 Maplewood Road,Tavistock,ON,N0B 2R0,Canada
,Farmers Cooperative Elevator Cottonwood,2010299,2/17/2027 12:00 PM,,Feed,507-423-6707,Office (507-423-6235);Mill (800-423-6230),90 Railway Street,Cottonwood,MN,56229,USA,90 Railway Street,Cottonwood,MN,56229,USA
,Double L Farms,2010349,2/1/2026 12:00 PM,,Feed,815-688-3353,Office (815-688-3353);Mill (815-848-3914),3827 North 2600 East Road,Forrest,IL,61741,USA,3827 North 2600 East Road,Forrest,IL,61741,USA
,Havel Pork Farms,2010352,6/21/2026 12:00 PM,,Feed,,Office (319-657-3757),3320 - 262nd Street,Ainsworth,IA,52201,USA,3320 - 262nd Street,Ainsworth,IA,52201,USA
,Henry Creek Farms,2010373,1/5/2026 12:00 PM,,Feed,620-752-3149,Office (620-752-3650),10636 N.W. 110 Street,Whitewater,KS,67154,USA,10636 N.W. 110 Street,Whitewater,KS,67154,USA
,Wortman Farms,2010466,6/16/2025 12:00 PM,,Feed,402-358-5212,Office (402-358-5212);Mill (402-358-3539),86930 532nd Avenue,Creighton,NE,68729,USA,86930 532nd Avenue,Creighton,NE,68729,USA
,University of Illinois,2010517,7/1/2025 12:00 PM,,Feed,,Office (217-244-3170),"1817 S Neil Street, Suite 210",Champaign,IL,61820,USA,1207 W Gregory Drive Rm 24,Urbana,IL,61801,USA
,Union Mills,2010574,7/10/2025 12:00 PM,,Feed,,Mobile (503-829-2386 Heather);Office (503-888-8129 Jay),14822 S Union Mills Road,Mulino,OR,97042,USA,14822 S Union Mills Road,Mulino,OR,97042,USA
,Nexus ,2010710,,,Other,,Mill (319-234-1392);Office (319-636-2071),PO Box 828,Waverly,IA,50677,USA,1877 - 110th Street,Hazelton,IA,50641,USA
,CP Feeds,2041968,,,Feed,,Mill (920-775-9600);Office (920-775-9600),,,,,,361 County Rd U,Wrightstown,WI,54180,USA
,Chandler Feed Company Leota,2042002,2/5/2026 12:00 PM,,Feed,,Office (507-443-5381),741 Valley Road,Chandler,MN,56122,USA,10899 Birkett Ave,Leota,MN,56153,USA
,Knowledge Base (Internal),2043211,,,,,,,,,,,,,,,
,Big Stone Colony Minnesota,2093088,6/10/2025 12:00 PM,,Feed,,Office (320-748-7961),75217 Big Stone Colony Road West,Graceville,MN,56240,USA,75217 Big Stone Colony Road West,Graceville,MN,56240,USA
,Gengler Feed Services Remsen,2104621,1/12/2026 12:00 PM,,Feed,,Office (712-786-2234);Mill (712-786-2235),PO Box 319,Remsen,IA,51050,USA,2 S Marion Street,Remsen,IA,51050,USA
,WIN Production LLC,2104948,,,Feed,,,,,,,,46619 County Hwy 2,Griggsville,IL,62340,USA
,Timac Agro Reading,2153155,4/15/2026 12:00 PM,,Agronomy-Dry,,,"Rainbow Fertilizer LLC1011 Oak Ave",Americus,GA,31709,USA,153 Angstadt Lane,Reading,PA,19607,USA
,TJ Farms,2186556,,,Feed,,,,,,,,8660 Brickyard Lane,Watford,ON,NOM 2SO,Canada
,Stan's Inc.,2187359,7/1/2025 12:00 PM,,Feed,,Office (605-849-3582),1008 Railway Ave,Alpena,SD,57315,USA,1008 Railway Ave,Alpena,SD,57315,USA
,Cox Brothers Farms,2211241,5/15/2026 12:00 PM,,Feed,,Mobile (704-242-2154),6409 Rape Road,Monroe,NC,28112,USA,6409 Rape Road,Monroe,NC,28112,USA
,Sierra Colony,2249731,9/26/2025 12:00 PM,,Feed,,Mill (306-295-3321);Office (306-295-3321),,,,,,Box 759,Shaunavon,SK,S0N 2M0,Canada
,Big Stone Colony Montana New Mill - ISO Wean,2250764,,,Feed,,Office (406-736-5545),"Route 1, Box 70",Sand Coulee,MT,59472,USA,"Route 1, Box 70",Sand Coulee,MT,59472,USA
,Cal Maine Foods Corporate,2252338,,,Feed,,Office (601-948-6813),,,,,,,,,,
,Cal Maine Foods Searcy,2252339,6/1/2026 12:00 PM,,Feed,,Mill (501-268-5321),3320 Woodrow Wilson Drive,Jackson,MS,39209,USA,500 S Oak St,Searcy,AR,72143,USA
,"Nutra Ag, LLC",2283390,7/26/2025 12:00 PM,,Feed,,Office (573-378-2800),12747 Market Road,Versailles,MO,65084,USA,12747 Market Road,Versailles,MO,65084,USA
,Brando Holsteins,2323850,,,Cattle,,,,,,,,RR 2,Lacombe,AB,T4L 2N2,Canada
,Millerdale Colony,2324783,10/29/2025 12:00 PM,,Feed,,Office (605-853-2210),35350 206th Street,Miller,SD,57362,USA,35350 206th Street,Miller,SD,57362,USA
,Welsh Family Organic Farm,2324787,1/6/2026 12:00 PM,,Feed,,Mobile (563-419-3815),1509 Dry Ridge Drive,Lansing,IA,52151,USA,1509 Dry Ridge Drive,Lansing,IA,52151,USA
,Feed Commodities International,2324793,2/12/2026 12:00 PM,,Feed,,Mill (802-458-3916),47 Feed Mill Lane,Middlebury,VT,05753,USA,47 Feed Mill Lane,Middlebury,VT,05753,USA
,Commodity Blenders Jonesville,2327978,2/10/2026 12:00 PM,,Feed,,Office (517-797-4553),10510 Myers Rd,West Salem,OH,44287,USA,3611 W Chicago Rd,Jonesville,MI,49250,USA
,Benjamin Riensche Farming Co.,2351015,9/15/2025 12:00 PM,,Other,,Office (563-920-8983),11607 Rickard Road,Jessup,IA,50648,USA,11607 Rickard Road,Jessup,IA,50648,USA
,O'Shaughnessy Distillery,2351019,8/19/2025 12:00 PM,,Brewery,,,,,,,,600 Malcolm Ave SE,Minneapolis,MN,55414,USA
,Active Feed Company,2353004,7/9/2025 12:00 PM,,Feed,,Office (989-453-2472);Mill (989-327-0524),7564 Pigeon Road,Pigeon,MI,48755,USA,7564 Pigeon Road,Pigeon,MI,48755,USA
,Holmes Agro Stayner,2360053,3/26/2026 12:00 PM,,Agronomy-Dry,,Office (705-428-4444),PO Box 218,Orangeville,ON,L9W 2Z6,Canada,1042 Klondike Park Road,Stayner,ON,L0M 1S0,Canada
,Triple Heart Ranch,2378706,,,Cattle,,,"Lallemand Animal Nutrition6120 W Douglas Ave",Milwaukee,WI,53218,USA,43020 Patterson Road,Wanatte,OK,74878,USA
,Easy Automation Inc. ,2472663,,,,,,,,,,,,,,,
,Cal Maine Foods Bremen,2522433,6/1/2026 12:00 PM,,Feed,,Office (270-525-6028),3320 Woodrow Wilson Drive,Jackson,MS,39209,USA,11500 State Rt. 181 N,Bremen,KY,42325,USA
,Loring Colony,2573171,3/10/2026 12:00 PM,,Feed,,Office (406-674-5581),6888 Turner Cutacross Road,Loring,MT,59537,USA,6888 Turner Cutacross Road,Loring,MT,59537,USA
,Test Customer,2527978,,,,,,,,,,,,,,,
,"Brazinski Pork, Inc.",2540613,5/27/2026 12:00 PM,,Feed,,Mobile (618-559-0559),,,,,,3640 Honeysuckle Road,Coulterville,IL,62237,USA
,Hilldale Colony,2581990,4/14/2026 12:00 PM,,Feed,,Office (406-398-5342),"Hilldale Colony44829 Cottonwood Road",Havre,MT,59501,USA,"Hilldale Colony44829 Cottonwood Road",Havre,MT,59501,USA
,Grupo Disan,2582021,2/21/2026 12:00 PM,,Agronomy-Dry,,,,,,,,"Cl. 76 #28 12Barrios Unidos",Bogota,Cundinamarca,,Columbia
,MFA Kirksville,2619004,5/13/2026 12:00 PM,,Feed,,Office (660-627-1285),310 W Potter Ave,Kirksville,MO,63501,USA,310 W Potter Ave,Kirksville,MO,63501,USA
,MFA Mexico,2619013,7/21/2025 12:00 PM,,Feed,,Office (573-581-6272),310 W Potter Ave,Kirksville,MO,63501,USA,2818 East Liberty Street,Mexico,MO,65265,USA
,Wenger Feeds Shippensburg,2631025,,,Feed,,Office (717-449-1779),,,,,,1122 Mt Rock Road #1096,Shippensburg,PA,17257,USA
,Indian Creek Feeds,2633136,9/23/2025 12:00 PM,,Feed,,,5513 Highway 21 N,Berryville,AR,72616,USA,5513 Highway 21 N,Berryville,AR,72616,USA
,Johnny Pickles Distillery,2644738,,,Brewery,,Office (512-777-0044),1711 North Austin Street,Seguin,TX,78155,USA,1711 North Austin Street,Seguin,TX,78155,USA
,Cal Maine Foods Edwards,2645748,6/1/2026 12:00 PM,,Feed,,Office (601-852-4413),3320 Woodrow Wilson Drive,Jackson,MS,39209,USA,17521 Old Highway 80 West,Edwards,MS,39066,USA
,Hoover Feed Service,2693349,,,Feed,,Office (574-534-6762),23591 State Rd 119,Goshen,IN,46526,USA,23591 State Rd 119,Goshen,IN,46526,USA
,Helena Agri Enterprises - Warriors Mark PA,2727079,,,Agronomy-Dry,,,,,,,,2413 Pennington Road,Warriors Mark,PA,16877,USA
,Trotter Fertilizer And Propane,2728585,11/4/2025 12:00 PM,,Agronomy-Dry,,Office (308-728-7747),,,,,,535 N 15th Street,Ord,NE,68862-9999,USA
,Penetics Inc,2735360,5/14/2026 12:00 PM,,Feed,,,64181 Con. 6 Rd,Wellandport,ON,L0R 2J0,Canada,64181 Con. 6 Rd,Wellandport,ON,L0R 2J0,Canada
,Twin Hills Colony Hog Feed Mill,2747465,8/25/2025 12:00 PM,,Feed,406-734-5350,Mill (406-205-0045);Office (406-205-0045),4177 Beaver Slide Road,Carter,MT,59420,USA,4177 Beaver Slide Road,Carter,MT,59420,USA
,Cal Maine Foods Chillicothe,2747592,6/1/2026 12:00 PM,,Feed,,Mill (940-887-3267),,,,,,21080 County Road 87 N,Chillicothe,TX,79225,USA
,McConnell Family Farms,2748850,,,Feed,,,,,,,,1291 560th Ave,Armstrong,IA,50514,USA
,Carstens And Sons Farm Grain,2751044,9/23/2025 12:00 PM,,Grain,,,11819 Linden Road,Linden,IA,50146,USA,11819 Linden Road,Linden,IA,50146,USA
,Rockglen Colony,2755219,4/28/2026 12:00 PM,,Feed,,Office (306-271-1720),,,,,,,Rockglen,SK,S0H 3R0,Canada
,Cardinal Ethanol,2785734,,,Other,,,,,,,,1554 N 600 E,Union City,IN,47390,USA
,Vitalix,2785788,12/7/2025 12:00 PM,,Feed,,,1820 10th Ave,Sidney,NE,69162,USA,Hwy 11 West,Ellendale,ND,58436,USA
,Growmark Corporate ,2827731,,,Agronomy-Dry,,,,,,,,,,,,
,Franklin Feed And Supply Chambersburg,2840030,3/23/2026 12:00 PM,,Feed,,Office (717-264-6148),1975 Philadelphia Ave,Chambersburg,PA,17201,USA,1975 Philadelphia Ave,Chambersburg,PA,17201,USA
,Cal Maine Foods Farwell,2841059,6/1/2026 12:00 PM,,Feed,,Office (806-825-2240),1052 Highland Colony Parkway Ste 200,Ridgeland,MS,39157,USA,410 FM 33333,Farwell,TX,79325,USA
,Springvale Colony,2846683,,,Feed,,Office (403-533-2105);Office (403-533-2200),,,,,,273036 Range Road 232,Rockyford,AB,T0J 2R0,Canada
,Nitrofert,2846767,,,Agronomy-Dry,,,,,,,,,,,,Columbia
,Mercer Landmark Inc,2856770,4/28/2026 12:00 PM,,Agronomy-Dry,,,,,,,,3911 Burkettsville-Saint Henry Road,Coldwater,OH,45828,USA
,United Coop Waupun,2867371,,,Feed,,,,,,,,1236 Wilson Drive,Waupun,WI,53963,USA
,Central Valley Eggs Corcoran ,2878590,6/27/2025 12:00 PM,,Feed,,Office (559-992-8421),,,,,,10990 Angiola Avenue,Corcoran,CA,93212,USA
,Winnifred Colony,2912374,,,Feed,,Office (403-832-2184),,,,,,Box 1177,Medicine Hat,AB,T1A 7H3,Canada
,Wilbur Ellis Moses Lake,2912835,2/23/2026 12:00 PM,,Agronomy-Dry,,Office (509-765-9157),,,,,,312 W Commerce Way,Moses Lake,WA,98837,USA
,Kingdom Haven Farm Inc,2912886,1/29/2026 12:00 PM,,Feed,,,128187 HWY N,Edgar,WI,54426,USA,128187 HWY N,Edgar,WI,54426,USA
,Whitesand Colony,2891515,9/22/2025 12:00 PM,,Feed,,,,,,,,Box 29,Stettler,AB,T0C 2L0,Canada
,"Montana Flour And Grains, Inc.",2912901,5/9/2026 12:00 PM,,Feed,,Office (406-622-5436),PO Box,Fort Benton,MT,59442,USA,225 State Hwy 223,Fort Benton,MT,59442,USA
,Dutch Country Organics Middlebury,2920139,9/12/2025 12:00 PM,,Feed,,Office (574-358-0856),407 N Main Street,Middlebury,IN,46540,USA,407 N Main Street,Middlebury,IN,46540,USA
,Gerber And Sons,2923746,5/9/2026 12:00 PM,,Feed,,Office (330-897-6011),,,,,,"250 Brick Yard Road201 E Main Street",Baltic,OH,43804,USA
,Chandler Feed Company Pipestone,2925664,4/25/2026 12:00 PM,,Feed,,,,,,,,113 8th Ave NE,Pipestone,MN,,USA
,Pettisville Grain Pettisville,2926413,2/15/2026 12:00 PM,,Grain,,Office (419-446-2547),18251 County Road DE,Pettisville,OH,43553,USA,18251 County Road DE,Pettisville,OH,43553,USA
,Coastal AgroBusiness Pantego ,2928863,,,Agronomy-Dry,,Office (252.943.3593),,,,,,510 Swindell Road,Pantego,NC,27860,USA
,Wenger Feeds Martinsburg,2929360,,,Feed,,,,,,,,106 S Railroad Street,Martinsburg,PA,16662,USA
,Central Valley Ag York,2937145,,,Agronomy-Liquid,,,,,,,,2803 N Nebraska Ave,York,NE,68467,USA
,Bridgewater Dairy,2938015,,,Feed,,,,,,,,14894 County Rd 8-50,Montpelier,OH,43543,USA
,Couleeview Farms,2940182,,,Feed,,Office (403-308-9337),,,,,,PO Box 114,Shaughnessy,AB,T0K 2A0,Canada
,Specialty Ag Formulations,2940589,3/28/2026 12:00 PM,,Agronomy-Liquid,,,,,,,,974 S. Highway 14,Aurora,NE,68818,USA
,International Raw Materials LTD,2942382,6/19/2026 12:00 PM,,Agronomy-Dry,,,"OCP North America235 Lake Street E, Ste 202",Wayzata,MN,55391,USA,"Keefer Terminal100 Maine Street",Thunder Bay,ON,P7B 6R9,Canada
,Barentz NA,2942446,,,Feed,,,,,,,,13095 Courthouse Blvd,Rosemount,MN,55068,USA
,Ag Cooperative Services ,2942450,9/7/2025 12:00 PM,,Feed,,Office (660-826-5329);Mill (660-366-4325),,,,,,3645 Highway 50,Otterville,MO,65348,USA
,Midwest Organics - Conventional Feed ,2942741,4/23/2026 12:00 PM,,Feed,,,16929 Highway EE,Sedalia,MO,65301,USA,16929 Highway EE,Sedalia,MO,65301,USA
,Wakarusa Nutritional Stillwell,2943889,10/24/2025 12:00 PM,,Feed,,,600 S Indiana Ave,Wakarusa,IN,46573,USA,,Stillwell,IN,,USA
,AgState Corporate,2948755,,,Feed,,,"PO Box 316167 West First Street",Newell,IA,50568,USA,,,,,
,Keystone Cooperative Corporate,2948810,,,Agronomy-Dry And Liquid,,,,,,,,,,,,
,Keystone Cooperative Stilesville,2949432,,,Agronomy-Liquid,,,,,,,,10260 E SR 240,Stilesville,TN,46180,USA
,Commodity Blenders Corporate,2951161,,,Feed,,,,,,,,,,,,
,MFA Lebanon,2952410,8/29/2025 12:00 PM,,Feed,,,201 Ray Young Drive,Columbia,MO,65201,USA,285 W. Pierce Street,Lebanon,MO,65536,USA
,Great Western Products,2952422,,,Feed,,,605 4th Ave NW,New Prague,MN,56071,USA,1021 Circle Drive,Arlington,MN,55307,USA
,Central Valley Ag Courtland,2955301,4/11/2026 12:00 PM,,Agronomy-Liquid,,,,,,,,240 US Hwy 36,Courtland ,KS,66939,USA
,Worden Farms,2955302,8/5/2025 12:00 PM,,Feed,,,,,,,,30364 Hwy 22,Litchfield,MN,,USA
,Nutrien Ag Solutions Corporate,2958152,,,Agronomy-Dry And Liquid,,,,,,,,,,,,
,Stabil Nutrition,2960344,,,Feed,,,,,,,,170 South 13th St,Mermentau,LA,70556,USA
,Blue Sky Dairy,2962256,4/18/2026 12:00 PM,,Feed,,,,,,,,1989 O Road,Lewis ,KS,67552,USA
